Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad 
0,21,1.62,64,1,0,2,3,0,0,2,0,0,1,0,0,1
0,21,1.52,56,1,0,3,3,0,1,3,1,3,0,0,0,1
1,23,1.8,77,1,0,2,3,0,0,2,0,2,1,1,0,1
1,27,1.8,87,0,0,3,3,0,0,2,0,2,0,1,1,2
1,22,1.78,89.8,0,0,2,1,0,0,2,0,0,0,0,0,3
1,29,1.62,53,0,1,2,3,0,0,2,0,0,0,0,2,1
0,23,1.5,55,1,1,3,3,0,0,2,0,1,0,0,3,1
1,22,1.64,53,0,0,2,3,0,0,2,0,3,0,0,0,1
1,24,1.78,64,1,1,3,3,0,0,2,0,1,1,1,0,1
1,22,1.72,68,1,1,2,3,0,0,2,0,1,1,0,0,1
1,26,1.85,105,1,1,3,3,1,0,3,0,2,2,0,0,4
0,21,1.72,80,1,1,2,3,1,0,2,1,2,1,0,0,3
1,22,1.65,56,0,0,3,3,0,0,3,0,2,0,0,0,1
1,41,1.8,99,0,1,2,3,0,0,2,0,2,1,1,2,4
1,23,1.77,60,1,1,3,1,0,0,1,0,1,1,0,0,1
0,22,1.7,66,1,0,3,3,2,0,2,1,2,1,0,0,1
1,27,1.93,102,1,1,2,1,0,0,1,0,1,0,0,0,3
0,29,1.53,78,0,1,2,1,0,0,2,0,0,0,0,2,4
0,30,1.71,82,1,1,3,4,1,1,1,0,0,0,0,2,3
0,23,1.65,70,1,0,2,1,0,0,2,0,0,0,0,0,2
1,22,1.65,80,1,0,2,3,0,0,2,0,3,2,0,1,3
0,52,1.69,87,1,1,3,1,0,1,2,0,0,0,0,2,4
0,22,1.65,60,1,1,3,3,0,0,2,0,1,0,0,2,1
0,22,1.6,82,1,1,1,1,0,0,2,0,0,2,0,0,4
1,21,1.85,68,1,1,2,3,0,0,2,0,0,1,0,0,1
1,20,1.6,50,1,0,2,4,1,1,2,0,3,2,0,0,1
1,21,1.7,65,1,1,2,1,1,0,2,0,1,2,2,1,1
0,23,1.6,52,0,1,2,4,1,0,2,0,2,1,0,2,1
1,19,1.75,76,1,1,3,3,0,0,2,1,3,1,0,0,1
1,23,1.68,70,0,1,2,3,0,0,2,0,2,2,1,1,1
1,29,1.77,83,0,1,1,4,1,0,3,0,0,1,0,3,2
0,31,1.58,68,1,0,2,1,0,0,1,0,1,0,0,0,3
0,24,1.77,76,0,0,2,3,0,0,3,0,1,1,0,1,1
1,39,1.79,90,0,0,2,1,0,0,2,0,0,0,0,0,3
1,22,1.65,62,0,1,2,4,1,0,2,0,2,0,0,0,1
0,21,1.5,65,1,0,2,3,0,0,2,0,2,2,0,0,3
0,22,1.56,49,0,1,2,3,0,0,1,1,2,0,0,1,1
0,21,1.6,48,0,1,2,3,0,0,1,0,1,0,0,0,1
1,23,1.65,67,1,1,2,3,0,0,2,0,1,1,0,0,1
0,21,1.75,88,1,1,2,3,0,0,3,0,3,0,0,0,3
0,21,1.67,75,1,1,2,3,0,0,2,0,1,0,0,0,2
1,23,1.68,60,0,0,2,4,1,0,2,0,0,0,0,1,1
0,21,1.66,64,1,1,1,3,0,0,1,0,0,0,0,0,1
1,21,1.66,62,1,1,2,3,0,1,2,0,1,1,1,0,1
1,21,1.81,80,0,0,1,3,0,0,2,0,2,0,0,0,1
0,21,1.53,65,1,0,2,3,0,0,1,0,0,1,0,0,3
1,21,1.82,72,1,1,1,3,1,0,3,0,2,0,0,0,1
1,21,1.75,72,1,1,1,3,1,0,3,0,2,0,0,0,1
0,20,1.66,60,1,0,3,3,0,0,2,0,1,0,0,1,1
0,21,1.55,50,0,1,2,3,0,0,2,0,0,0,0,0,1
0,21,1.61,54.5,1,1,3,3,0,0,3,0,0,1,0,1,1
0,20,1.5,44,0,1,2,3,0,0,1,0,0,0,0,2,1
0,23,1.64,52,0,1,3,1,0,0,2,0,2,2,0,0,1
0,23,1.63,55,1,0,3,3,0,0,2,1,2,1,0,0,1
0,22,1.6,55,0,0,3,4,2,0,3,0,2,0,0,0,1
1,23,1.68,62,0,0,2,4,1,0,2,0,0,0,0,2,1
1,22,1.7,70,1,1,2,3,0,0,1,0,0,1,0,2,1
1,21,1.64,65,1,0,2,3,0,0,1,0,0,1,0,0,1
0,17,1.65,67,1,1,3,1,0,0,2,0,1,1,0,1,1
1,20,1.76,55,1,1,2,4,0,0,3,0,2,2,0,0,0
0,21,1.55,49,1,1,2,3,0,0,3,0,3,1,0,0,1
1,20,1.65,58,0,1,2,3,0,0,2,0,3,1,0,0,1
1,22,1.67,62,0,1,2,1,0,0,2,0,0,0,0,0,1
1,22,1.68,55,1,1,2,3,0,0,2,0,0,2,0,2,1
0,21,1.66,57,1,1,2,3,1,0,1,0,1,1,0,0,1
0,21,1.62,69,1,1,1,3,1,0,2,0,0,1,0,0,2
1,23,1.8,90,1,1,1,3,2,0,2,0,0,2,1,0,3
1,23,1.65,95,1,1,2,3,2,0,2,0,0,1,1,2,4
1,30,1.76,112,1,1,1,3,0,1,2,1,0,0,1,2,5
1,23,1.8,60,1,0,2,3,0,0,3,0,0,1,0,0,1
0,23,1.65,80,1,1,2,3,2,0,2,0,0,2,0,0,3
0,22,1.67,50,1,0,3,3,0,0,3,1,2,1,0,0,0
0,24,1.65,60,1,0,2,3,0,0,3,1,1,0,0,0,1
1,19,1.85,65,1,0,2,3,0,0,3,0,2,1,0,4,1
1,24,1.7,85,1,1,2,3,1,0,3,0,0,1,1,0,3
0,23,1.63,45,1,0,3,3,0,0,3,1,2,0,0,0,0
0,24,1.6,45,1,0,2,3,0,0,2,0,1,0,0,0,0
0,24,1.7,80,1,1,2,3,0,0,3,0,0,0,0,0,3
0,23,1.65,90,1,1,2,3,0,0,3,0,0,1,0,0,4
1,23,1.65,60,1,0,2,3,0,0,2,0,0,0,0,0,1
0,19,1.63,58,0,0,3,3,0,0,2,1,0,0,0,0,1
1,30,1.8,91,1,1,2,3,1,0,2,0,0,0,0,0,3
1,23,1.67,85.5,1,1,2,3,2,0,2,0,0,1,0,0,4
0,19,1.6,45,0,0,3,3,0,0,3,1,2,0,0,1,0
1,25,1.7,83,1,1,2,3,1,0,2,0,0,1,0,0,3
